timestamp;yaw;pitch;roll
77342;98.56;3.30;-18.67
77394;113.95;5.82;-13.54
77442;132.20;6.87;-7.01
77494;146.65;7.48;-2.82
77545;139.81;7.72;-1.80
77592;130.14;8.56;-6.21
77644;113.45;6.98;-10.38
77692;101.19;5.79;-15.11
77744;83.83;2.07;-23.32
77792;70.91;-0.43;-30.15
77844;56.77;-5.07;-35.59
77892;57.61;-7.61;-39.34
77944;69.55;-4.43;-30.21
77992;79.14;0.64;-27.46
78046;82.86;2.27;-24.18
78092;83.32;2.32;-23.54
78142;83.50;2.54;-23.20
78194;83.35;2.87;-22.99
78242;83.15;3.05;-22.84
78294;82.85;3.13;-22.56
78342;82.73;3.14;-22.25
78394;82.79;2.97;-21.62
78442;83.10;2.78;-21.00
78494;84.19;2.61;-20.23
78545;86.71;2.62;-20.25
78592;94.44;4.87;-18.52
78644;110.89;9.85;-13.60
78692;129.61;13.47;-8.29
78744;140.38;15.12;-11.49
78792;134.53;11.28;-13.58
78844;122.33;6.56;-22.03
78892;110.72;2.25;-25.58
78944;94.58;-3.79;-29.28
78992;82.93;-8.70;-31.80
79046;65.18;-14.60;-35.18
79092;55.72;-21.51;-32.49
79142;61.23;-25.87;-40.65
79194;77.39;-20.90;-36.64
79242;85.29;-15.74;-37.82
79294;86.20;-15.71;-34.39
79342;86.43;-15.76;-33.82
79394;86.20;-15.43;-33.70
79442;85.96;-15.12;-33.64
79494;85.73;-14.91;-33.21
79545;85.59;-14.87;-32.76
79592;85.40;-14.75;-32.09
79644;85.08;-14.63;-31.37
79692;85.05;-14.52;-30.88
79744;86.30;-14.41;-30.74
79792;89.91;-12.59;-30.81
79844;101.16;-6.35;-30.15
79892;115.36;0.03;-27.61
79944;138.16;7.64;-20.12
79992;137.23;1.07;-25.48
80046;130.25;-4.39;-30.98
80092;117.76;-7.16;-35.02
80144;103.57;-14.05;-37.96
80192;93.30;-23.14;-39.93
80244;74.86;-35.99;-37.45
80292;68.80;-39.92;-37.38
80344;92.41;-37.86;-45.08
80392;92.74;-33.35;-48.07
80444;90.77;-30.03;-46.14
80492;91.26;-30.66;-46.53
80547;91.04;-29.92;-46.31
80592;91.25;-29.48;-46.44
80644;91.38;-29.26;-46.14
80692;91.48;-29.22;-45.91
80744;91.46;-29.29;-45.50
80792;91.31;-29.09;-45.17
80844;91.20;-28.71;-44.80
80892;91.69;-28.37;-44.90
80944;94.22;-26.50;-45.61
80992;98.78;-22.19;-45.94
81045;109.78;-13.08;-45.28
81092;127.77;5.22;-46.25
81144;138.37;14.34;-40.85
81192;133.48;8.72;-40.68
81244;123.51;-1.40;-46.71
81292;114.41;-10.30;-47.39
81344;99.14;-22.46;-48.07
81392;86.33;-32.19;-47.09
81444;65.65;-43.15;-40.61
81492;51.11;-49.22;-29.73
81547;54.68;-51.24;-35.96
81592;66.40;-49.86;-41.93
81644;83.51;-41.80;-44.85
81692;89.91;-38.34;-47.46
81744;90.81;-37.36;-48.38
81792;90.64;-37.01;-48.24
